Code_Opale_Publi;IDBANK
TD_P31G_RU7_CH;1688667
TD_P31G_D3;1688668
TD_P31G_D7_CH;1688669
TD_P31G_DB3;1688670
TD_P31G_DB7_CH;1688671
TD_P31G_DI3;1688672
TD_P31G_DI7_CH;1688673
TD_P31G_DIM3;1688674
TD_P31G_DIM7_CH;1688675
TD_P31G_DS3;1688676
TD_P31G_DS7_CH;1688677
TD_P31G_DSM3;1688678
TD_P31G_DSM7_CH;1688679
TD_P31G_DSN3;1688680
TD_P31G_DSN7_CH;1688681
TD_P32G_MN3;1688682
TD_P32G_MN7_CH;1688683
TD_P32G_OQ3;1688684
TD_P32G_OQ7_CH;1688685
TD_P32G_RU3;1688686
TD_P32G_RU7_CH;1688687
TD_P32G_D3;1688688
TD_P32G_D7_CH;1688689
TD_P32G_DS3;1688690
TD_P32G_DS7_CH;1688691
TD_TEMP_DI7_CH;1688692
TD_TEMP_DIM3;1688693
TD_TEMP_DIM7_CH;1688694
TD_TEMP_DS3;1688695
TD_TEMP_DS7_CH;1688696
TD_TEMP_DSM3;1688697
TD_TEMP_DSM7_CH;1688698
TD_VHTS_AZ1;1688699
TD_VHTS_C11;1688700
TD_VHTS_C21;1688701
TD_VHTS_C31;1688702
TD_VHTS_C41;1688703
TD_VHTS_C51;1688704
TD_VHTS_DE1;1688705
TD_VHTS_FZ1;1688706
TD_VHTS_GZ1;1688707
TD_VHTS_HZ1;1688708
TD_VHTS_IZ1;1688709
TD_VHTS_JZ1;1688710
TD_VHTS_KZ1;1688711
TD_VHTS_LZ1;1688712
TD_VHTS_MN1;1688713
TD_VHTS_OQ1;1688714
TD_VHTS_RU1;1688715
TD_VHTS_D1;1688716
TC_D611Z_S14E3;1688717
TC_D611Z_S2E3;1688718
TC_D611Z_S2R3;1688719
TC_D612Z_S11R3;1688720
TC_D612Z_S12R3;1688721
TC_D612Z_S13R3;1688722
TC_D612Z_S14E3;1688723
TC_D613Z_S11R3;1688724
TC_D613Z_S12R3;1688725
TC_D613Z_S13R3;1688726
TC_D613Z_S14E3;1688727
TC_D613Z_S2E3;1688728
TC_D613Z_S2R3;1688729
TC_D621_S13E3;1688730
TC_D621_S14R3;1688731
TC_D621_S2E3;1688732
TC_D621_S2R3;1688733
TC_D622_S11E3;1688734
TC_D622_S12E3;1688735
TC_D622_S13E3;1688736
TC_D622_S14R3;1688737
TC_D622_S2R3;1688738
TC_D623_S13E3;1688739
TC_D623_S14R3;1688740
TD_D212_C23;1688741
TD_D212_C27_CH;1688742
TD_D212_C33;1688743
TD_D212_C37_CH;1688744
TD_D212_C43;1688745
TD_D212_C47_CH;1688746
TD_D212_C53;1688747
TD_D212_C57_CH;1688748
TD_D212_JZ3;1688749
TD_D212_JZ7_CH;1688750
TD_D212_D3;1688751
TD_D212_D7_CH;1688752
TD_D212_DB3;1688753
TD_D212_DB7_CH;1688754
TD_D212_DI3;1688755
TD_D212_DI7_CH;1688756
TD_D212_DIM3;1688757
TD_D212_DIM7_CH;1688758
TD_D212_DS3;1688759
TD_D212_DS7_CH;1688760
TD_D212_DSM3;1688761
TD_D212_DSM7_CH;1688762
TD_D212_S13R3;1688763
TD_D212_S2R3;1688764
TD_D214_AZ3;1688765
TD_D214_AZ7_CH;1688766
TD_P32G_DSM3;1688767
TD_P32G_DSM7_CH;1688768
TD_P32G_DSN3;1688769
TD_P32G_DSN7_CH;1688770
TD_P3M_AZ3;1688771
TD_P3M_AZ7_CH;1688772
TD_P3M_C13;1688773
TD_P3M_C17_CH;1688774
TD_P3M_C23;1688775
TD_P3M_C27_CH;1688776
TD_P3M_C33;1688777
TD_P3M_C37_CH;1688778
TD_P3M_C43;1688779
TD_P3M_C47_CH;1688780
TD_P3M_C53;1688781
TD_P3M_C57_CH;1688782
TD_P3M_DE3;1688783
TD_P3M_DE7_CH;1688784
TD_P3M_FZ3;1688785
TD_P3M_FZ7_CH;1688786
TD_P3M_GZ3;1688787
TD_P3M_GZ7_CH;1688788
TD_P3M_HZ3;1688789
TD_P3M_HZ7_CH;1688790
TD_P3M_IZ3;1688791
TD_VHTS_DI1;1688792
TD_VHTS_DIM1;1688793
TD_VHTS_DS1;1688794
TD_VHTS_DSM1;1688795
TD_VHTS_DSN1;1688796
TD_VHTS_SMNA1;1688797
TD_VHTT_AZ1;1688798
TD_VHTT_C11;1688799
TD_VHTT_C21;1688800
TD_VHTT_C31;1688801
TD_VHTT_C41;1688802
TD_VHTT_C51;1688803
TD_VHTT_DE1;1688804
TD_VHTT_FZ1;1688805
TD_VHTT_GZ1;1688806
TD_VHTT_HZ1;1688807
TD_VHTT_IZ1;1688808
TD_VHTT_JZ1;1688809
TD_VHTT_KZ1;1688810
TD_VHTT_LZ1;1688811
TD_VHTT_MN1;1688812
TD_VHTT_OQ1;1688813
TC_D623_S15E3;1688814
TC_D623_S2R3;1688815
TC_D71_S11E3;1688816
TC_D71_S12E3;1688817
TC_D71_S12R3;1688818
TC_D71_S13E3;1688819
TC_D71_S14E3;1688820
TC_D71_S15E3;1688821
TC_D71_S2E3;1688822
TC_D71_S2R3;1688823
TC_D72_S11R3;1688824
TC_D72_S12E3;1688825
TC_D72_S12R3;1688826
TC_D72_S13R3;1688827
TC_D72_S14R3;1688828
TC_D72_S15R3;1688829
TC_D72_S2E3;1688830
TC_D72_S2R3;1688831
TC_D73_S13E3;1688832
TC_D73_S13R3;1688833
TC_D74_S13E3;1688834
TC_D74_S13R3;1688835
TC_D74_S2E3;1688836
TC_D74_S2R3;1688837
TC_D75_S11E3;1688838
TC_D75_S11R3;1688839
TD_D214_C13;1688840
TD_D214_C17_CH;1688841
TD_D214_C23;1688842
TD_D214_C27_CH;1688843
TD_D214_C33;1688844
TD_D214_C37_CH;1688845
TD_D214_C43;1688846
TD_D214_C47_CH;1688847
TD_D214_C53;1688848
TD_D214_C57_CH;1688849
TD_D214_DE3;1688850
TD_D214_DE7_CH;1688851
TD_D214_FZ3;1688852
TD_D214_FZ7_CH;1688853
TD_D214_HZ3;1688854
TD_D214_HZ7_CH;1688855
TD_D214_IZ3;1688856
TD_D214_IZ7_CH;1688857
TD_D214_JZ3;1688858
TD_D214_JZ7_CH;1688859
TD_D214_KZ3;1688860
TD_D214_KZ7_CH;1688861
TD_D214_LZ3;1688862
TD_D214_LZ7_CH;1688863
TD_D214_MN3;1688864
TD_P3M_IZ7_CH;1688865
TD_P3M_JZ3;1688866
TD_P3M_JZ7_CH;1688867
TD_P3M_KZ3;1688868
TD_P3M_KZ7_CH;1688869
TD_P3M_LZ3;1688870
TD_P3M_LZ7_CH;1688871
TD_P3M_MN3;1688872
TD_P3M_MN7_CH;1688873
TD_P3M_OQ3;1688874
TD_P3M_OQ7_CH;1688875
TD_P3M_RU3;1688876
TD_P3M_RU7_CH;1688877
TD_P3M_D3;1688878
TD_P3M_D7_CH;1688879
TD_P3M_DB3;1688880
TD_P3M_DB7_CH;1688881
TD_P3M_DI3;1688882
TD_P3M_DI7_CH;1688883
TD_P3M_DIM3;1688884
TD_P3M_DIM7_CH;1688885
TD_P3M_DS3;1688886
TD_P3M_DS7_CH;1688887
TD_P3M_DSM3;1688888
TD_P3M_DSM7_CH;1688889
