ARCH;;;;;;;;
;IPC_brut_Insee;IPCSJ_insee;IPC;IPCSJ;COEFPOIDSIPCSJ;COEFPOIDSIPCVOL;TICPE_PAR_BARIL;blabla
Comment;projbe2_ipc = extrapsd(projbe2_ipc.1+0.003-0.00013.0.2017Q1.2017Q4);projbe2_ipcsj = extrapsd(projbe2_ipcsj.1+0.0034.0.2017Q2.2017Q4);projbe2_ipc = extrapsd(projbe2_ipc.1+0.003-0.00013.0.2017Q1.2017Q4);projbe2_ipcsj = extrapsd(projbe2_ipcsj.1+0.0034.0.2017Q2.2017Q4);COEFPOIDSIPCSJ;COEFPOIDSIPCVOL;TICPE_PAR_BARIL;blabla
Org.;Scalar TS;Scalar TS;Scalar TS;Scalar TS;Scalar TS;Scalar TS;Scalar TS;Scalar TS
Type;Numeric;Numeric;Numeric;Numeric;Numeric;Numeric;Numeric;Numeric
1978Q1;NA;NA;27.995481296469;28.8518609645408;5808;4192;48.1732569837503;0
1978Q2;NA;NA;28.7588185388857;29.6383242540149;5808;4192;48.1732569837503;0
1978Q3;NA;NA;29.6050384055921;30.3027133905643;5808;4192;48.1732569837503;0
1978Q4;NA;NA;30.219608708275;31.1308706047222;5808;4192;48.1732569837503;0
1979Q1;NA;NA;30.8367359133363;31.8337841870339;5804;4196;48.1732569837503;0
1979Q2;NA;NA;31.6737395112006;32.7213721200611;5804;4196;48.1732569837503;0
1979Q3;NA;NA;32.8161669049787;33.6339906580775;5804;4196;48.1732569837503;0
1979Q4;NA;NA;33.6904273272705;34.5060210817211;5804;4196;48.1732569837503;0
1980Q1;NA;NA;34.9552517863733;35.5063935195658;5777;4223;48.1732569837503;0
1980Q2;NA;NA;35.9680427336023;36.7047212896941;5777;4223;48.1732569837503;0
1980Q3;NA;NA;37.2543119894371;37.9570726870301;5777;4223;48.1732569837503;0
1980Q4;NA;NA;38.2572939221573;38.9803684026171;5777;4223;48.1732569837503;0
1981Q1;NA;NA;39.3604997717585;40.069655320868;5799;4201;48.1732569837503;0
1981Q2;NA;NA;40.6006849933139;41.2978635328733;5799;4201;48.1732569837503;0
1981Q3;NA;NA;42.3190187405137;42.4919150634324;5799;4201;48.1732569837503;0
1981Q4;NA;NA;43.6853410829357;43.841360287208;5799;4201;48.1732569837503;0
1982Q1;NA;NA;44.8605431229261;45.0140555154971;5762;4238;48.1732569837503;0
1982Q2;NA;NA;46.1962922180016;46.3950477226804;5762;4238;48.1732569837503;0
1982Q3;NA;NA;46.9921244489764;46.9815845513246;5762;4238;48.1732569837503;0
1982Q4;NA;NA;47.8085692132522;47.6142342571969;5762;4238;48.1732569837503;0
1983Q1;NA;NA;49.0051255494983;49.2077449125767;5769;4231;48.1732569837503;0
1983Q2;NA;NA;50.3084128752348;50.6845630425401;5769;4231;48.1732569837503;0
1983Q3;NA;NA;51.5608032116994;51.6404008689552;5769;4231;48.1732569837503;0
1983Q4;NA;NA;52.5059177182231;52.5460587095335;5769;4231;48.1732569837503;0
1984Q1;NA;NA;53.3582404199929;53.3264790507811;5834;4166;48.1732569837503;0
1984Q2;NA;NA;54.2383509751196;54.3583091241264;5834;4166;48.1732569837503;0
1984Q3;NA;NA;55.3462799048345;55.2153403003552;5834;4166;48.1732569837503;0
1984Q4;NA;NA;56.1072182394828;55.8780211617786;5834;4166;48.1732569837503;0
1985Q1;NA;NA;56.7990258307322;56.7085690578867;5806;4194;48.1732569837503;0
1985Q2;NA;NA;57.7518717898937;57.6627023049302;5806;4194;49.3038731137132;0
1985Q3;NA;NA;58.4529814663013;58.4416367336249;5806;4194;49.281467958387;0
1985Q4;NA;NA;58.7951454370732;59.094824038772;5806;4194;49.232460061651;0
1986Q1;NA;NA;58.8322172098053;59.7422804879321;5822;4178;49.3249044069125;0
1986Q2;NA;NA;59.1312540399804;60.5980148605146;5822;4178;51.7878393297231;0
1986Q3;NA;NA;59.6799980513731;61.2351949195265;5822;4178;52.9633852758364;0
1986Q4;NA;NA;60.0477717097574;61.8482376739244;5822;4178;52.8616075931536;0
1987Q1;NA;NA;60.6829426984914;62.8288009334907;5992;4008;54.2632125693064;0
1987Q2;NA;NA;61.1352622099132;63.6393951107745;5992;4008;54.3406768747653;0
1987Q3;NA;NA;61.6902167060328;64.1177938587947;5992;4008;54.350675777964;0
1987Q4;NA;NA;61.9528074859427;64.5738228149894;5992;4008;54.3345665702415;0
1988Q1;NA;NA;62.1687363985833;65.1899677124769;6099;3901;54.7977650543777;0
1988Q2;NA;NA;62.6968270173484;65.9260418932762;6099;3901;55.5418231638406;0
1988Q3;NA;NA;63.4393680041632;66.4652829271374;6099;3901;56.0876253879751;0
1988Q4;NA;NA;63.8056505121702;67.0078060913858;6099;3901;56.1145763184931;0
1989Q1;NA;NA;64.2801274460824;67.4853919277795;6131;3869;57.5078623791991;0
1989Q2;NA;NA;64.9610959846104;68.1225328199179;6131;3869;57.5069782226832;0
1989Q3;NA;NA;65.5801203449076;68.6353565449041;6131;3869;57.5313035447917;0
1989Q4;NA;NA;66.0760356240791;69.0484573325489;6131;3869;57.5287480945052;0
1990Q1;66.5666666666667;69.4;66.5479178304332;69.3664660605089;6153;3847;58.469688357551;0
1990Q2;67.1533333333333;69.9333333333333;67.0142195569728;69.9720892784327;6153;3847;58.929092443512;0
1990Q3;67.6533333333333;70.6666666666667;67.7136721467822;70.6636216577215;6153;3847;58.9334462110668;0
1990Q4;68.33;71.3666666666667;68.3465102042287;71.3622738231965;6153;3847;58.9422063371499;0
1991Q1;68.8033333333333;72.1666666666667;68.7472555061118;72.1355986244627;6223;3777;59.5333565700273;0
1991Q2;69.3633333333333;72.7;69.2135644097385;72.7380603888547;6223;3777;59.5237877737917;0
1991Q3;69.82;73.4;69.8797199863481;73.3957255020805;6223;3777;59.5696480447982;0
1991Q4;70.3833333333333;74.0666666666667;70.4459522264662;74.0594705437693;6223;3777;59.5361378756657;0
1992Q1;70.7166666666667;74.7333333333333;70.7081165866729;74.7111988795333;6301;3699;62.0094067310564;0
1992Q2;71.26;75.3;71.1077856394473;75.332084774137;6301;3699;62.0354589961583;0
1992Q3;71.31;76;71.3409259202323;75.9943112022331;6301;3699;62.08303639458;0
1992Q4;71.6633333333333;76.5;71.7072892186089;76.4926033983632;6301;3699;62.0681400036297;0
1993Q1;72.23;76.9333333333333;72.1486421757004;76.9225871629917;6225.7;3774.3;63.1084661249316;0
1993Q2;72.7033333333333;77.3;72.5483576448179;77.3183523043879;6225.7;3774.3;63.5944880691753;0
1993Q3;72.8466666666667;77.6;72.9147634915089;77.597308227316;6225.7;3774.3;68.897330701037;0
1993Q4;73.1666666666667;77.9333333333333;73.2478597157734;77.9261155494326;6225.7;3774.3;69.4606052868495;0
1994Q1;73.4566666666667;78.1333333333333;73.3776887985844;78.1366339944268;6225.7;3774.3;69.3136722593692;0
1994Q2;73.9366666666667;78.3666666666667;73.7775672116557;78.3677127597211;6225.7;3774.3;69.4915815557908;0
1994Q3;74.03;78.6333333333333;74.1107992225484;78.6297205902529;6225.7;3774.3;69.4979284538272;0
1994Q4;74.34;78.9;74.4107080323519;78.899736120146;6225.7;3774.3;69.4882866218214;0
1995Q1;74.75;79.1666666666667;74.7302106646607;79.1787136284793;6225.7;3774.3;72.4615839675548;0
1995Q2;75.1433333333333;79.3333333333333;74.9633262950763;79.3209710745594;6225.7;3774.3;72.7941686259622;0
1995Q3;75.37;79.3666666666667;75.4295575559075;79.360202159897;6225.7;3774.3;72.8063527519137;0
1995Q4;75.8133333333333;79.5666666666667;75.8624865838222;79.5688487239897;6225.7;3774.3;72.7817277788577;0
1996Q1;76.3266666666667;79.7666666666667;76.3140481028668;79.7877998285983;6225.7;3774.3;74.921223544285;0
1996Q2;76.9166666666667;80.1;76.7470828585792;80.0843865940341;6225.7;3774.3;75.1432629536085;0
1996Q3;76.7466666666667;80.2666666666667;76.7803932244033;80.2523864308531;6225.7;3774.3;75.1538819887434;0
1996Q4;77.0566666666667;80.2666666666667;77.1134968826436;80.267287918843;6225.7;3774.3;75.1523160513945;0
1997Q1;77.4366666666667;80.4666666666667;77.4295736542168;80.494526133071;6225.7;3774.3;74.1199846423913;0
1997Q2;77.6266666666667;80.6;77.4628910267014;80.5892778808269;6225.7;3774.3;74.1967128334171;0
1997Q3;77.73;80.7666666666667;77.7627473790628;80.7497246804855;6225.7;3774.3;74.2033258081064;0
1997Q4;77.95;80.8333333333333;77.9959689864551;80.8193874061227;6225.7;3774.3;74.2138909176938;0
1998Q1;78.0166666666667;80.9333333333333;78.0352446764501;80.9737731085789;6225.7;3774.3;72.8302997789938;0
1998Q2;78.3933333333333;81.1;78.2018442594485;81.0890154233903;6225.7;3774.3;73.0625443407214;0
1998Q3;78.2033333333333;81.3333333333333;78.2351641760482;81.3218135265255;6225.7;3774.3;73.0638772746848;0
